system:index,BUI,Class,NDBI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,.geo
1_1_2_28_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_29_0,0.41968483,0,-0.25311264,0.6670666,0.04117499999999999,0.04694999999999999,0.07871250000000002,0.06452249999999998,0.32307749999999996,0.10296749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_30_0,0.35068467,0,-0.29758966,0.6489031,0.035509999999999986,0.043072499999999986,0.07640249999999998,0.06251499999999999,0.2935975,0.09276499999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_31_0,0.38770136,0,-0.27322304,0.6485415,0.036032499999999995,0.044062500000000004,0.07791500000000001,0.06595250000000002,0.309355,0.1012075,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_32_0,0.42160416,0,-0.31012088,0.72325265,0.03991,0.046235,0.08017000000000002,0.06009500000000001,0.37420000000000003,0.109925,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_33_0,0.39972314,0,-0.2840483,0.6893841,0.04222000000000001,0.04915,0.08401999999999998,0.06460500000000002,0.35137500000000005,0.11231750000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_34_0,0.4117898,0,-0.32951364,0.6953064,0.03927749999999999,0.044007500000000005,0.07928999999999997,0.06782250000000001,0.3773625,0.103105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_35_0,0.39283475,0,-0.34194157,0.7055189,0.041037500000000005,0.04827000000000001,0.07995000000000002,0.06457750000000001,0.3740075,0.10263749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_36_0,0.38968414,0,-0.30957833,0.6926721,0.038947499999999996,0.043265,0.07632,0.0598475,0.3296225,0.097715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_37_0,0.39965641,0,-0.26888177,0.6789849,0.0385625,0.0445575,0.08212249999999999,0.06353249999999999,0.33229000000000003,0.10406749999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_38_0,0.40230697,0,-0.2714359,0.6865187,0.037077499999999985,0.04436499999999999,0.08044499999999999,0.06122250000000001,0.32937500000000003,0.09972249999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_39_0,0.40566188,0,-0.2736515,0.69408405,0.037434999999999996,0.043017499999999986,0.07906999999999997,0.05921500000000002,0.32791750000000003,0.1010975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_40_0,0.40005824,0,-0.27203807,0.6620622,0.04095499999999999,0.04744499999999999,0.08239750000000001,0.06831749999999998,0.33600250000000004,0.11157499999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_41_0,0.40825087,0,-0.3259237,0.7184451,0.037654999999999994,0.043539999999999995,0.0778875,0.0597375,0.3646025,0.10019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_42_0,0.4061444,0,-0.32216874,0.7201516,0.03781999999999999,0.045465000000000005,0.07997749999999998,0.06009500000000001,0.36938750000000004,0.10178500000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_43_0,0.39931965,0,-0.34134093,0.72483826,0.03735250000000001,0.04367750000000001,0.07791500000000001,0.058967500000000006,0.369635,0.10194999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_44_0,0.39931965,0,-0.34134093,0.72483826,0.03735250000000001,0.04367750000000001,0.07791500000000001,0.058967500000000006,0.369635,0.10194999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_45_0,0.39931965,0,-0.34134093,0.72483826,0.03735250000000001,0.04367750000000001,0.07791500000000001,0.058967500000000006,0.369635,0.10194999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_46_0,0.39931965,0,-0.34134093,0.72483826,0.03735250000000001,0.04367750000000001,0.07791500000000001,0.058967500000000006,0.369635,0.10194999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_47_0,0.39931965,0,-0.34134093,0.72483826,0.03735250000000001,0.04367750000000001,0.07791500000000001,0.058967500000000006,0.369635,0.10194999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_48_0,0.39931965,0,-0.34134093,0.72483826,0.03735250000000001,0.04367750000000001,0.07791500000000001,0.058967500000000006,0.369635,0.10194999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_49_0,0.40957054,0,-0.33365652,0.722204,0.03787499999999999,0.04447499999999999,0.0770075,0.059352499999999975,0.3679575,0.10329749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_50_0,0.40957054,0,-0.33365652,0.722204,0.03787499999999999,0.04447499999999999,0.0770075,0.059352499999999975,0.3679575,0.10329749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_51_0,0.40957054,0,-0.33365652,0.722204,0.03787499999999999,0.04447499999999999,0.0770075,0.059352499999999975,0.3679575,0.10329749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_52_0,0.40957054,0,-0.33365652,0.722204,0.03787499999999999,0.04447499999999999,0.0770075,0.059352499999999975,0.3679575,0.10329749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_53_0,0.40957054,0,-0.33365652,0.722204,0.03787499999999999,0.04447499999999999,0.0770075,0.059352499999999975,0.3679575,0.10329749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_54_0,0.40957054,0,-0.33365652,0.722204,0.03787499999999999,0.04447499999999999,0.0770075,0.059352499999999975,0.3679575,0.10329749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_55_0,0.40957054,0,-0.33365652,0.722204,0.03787499999999999,0.04447499999999999,0.0770075,0.059352499999999975,0.3679575,0.10329749999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_56_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_57_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_58_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_59_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_60_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_61_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_62_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_63_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_64_0,0.4076826,0,-0.31209242,0.70559067,0.037077499999999985,0.0446125,0.07673249999999998,0.06003999999999998,0.3478275,0.09900750000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0_0,0.25269783,0,0.06581016,0.07693594,0.15063875,0.18127375,0.26847625,0.33810625,0.3944675,0.39857875000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
